,Usuario,MAC AP,Inicio de Conexi¢n
0,csegeview,04-18-D6-22-94-E7:UM,8/28/2019 10:06
1,invitede-pansew,04-18-D6-82-C5-46:UM,8/28/2019 10:06
2,invitede-pansew,04-18-D6-82-C5-46:UM,8/28/2019 10:06
3,csegeview,04-18-D6-22-8E-6D:UM,8/28/2019 10:06
4,invitede-pansew,04-18-D6-21-38-E1:UM,8/28/2019 10:06
5,ppriow,04-18-D6-22-9B-4C:UM,8/28/2019 10:06
6,rmensur,04-18-D6-22-8E-6D:UM,8/28/2019 10:07
7,csegeview,04-18-D6-22-94-E7:UM,8/28/2019 10:07
8,csegeview,04-18-D6-22-8E-6D:UM,8/28/2019 10:07
9,invitede-pansew,04-18-D6-22-38-E1:UM,8/28/2019 10:07
10,pgelvenw,04-18-D6-21-38-E1:UM,8/28/2019 10:07
11,invitede-pansew,DC-9F-DB-12-F3-EA:UM,8/28/2019 10:07
12,eeleridiew,DC-9F-DB-12-F3-EA:UM,8/28/2019 10:07
13,invitede-pansew,DC-9F-DB-12-F4-A9:UM,8/28/2019 10:07
14,csegeview,04-18-D6-22-94-E7:UM,8/28/2019 10:07
15,gdiezw,04-18-D6-22-8E-6D:UM,8/28/2019 10:07
16,csegeview,04-18-D6-22-8E-6D:UM,8/28/2019 10:07
17,ppriow,04-18-D6-21-9B-4C:UM,8/28/2019 10:07
18,egenzelezvw,04-18-D6-21-9B-4C:UM,8/28/2019 10:07
19,invitede-pansew,04-18-D6-21-9B-4C:UM,8/28/2019 10:07
20,invitede-pansew,04-18-D6-21-9B-4C:UM,8/28/2019 10:07
21,ppriow,04-18-D6-22-8E-6D:UM,8/28/2019 10:07
22,csegeview,04-18-D6-22-94-E7:UM,8/28/2019 10:07
23,gdiezw,04-18-D6-22-8E-6D:UM,8/28/2019 10:07
24,ppriow,04-18-D6-22-9B-4C:UM,8/28/2019 10:07
25,pgelvenw,DC-9F-DB-12-F3-EA:UM,8/28/2019 10:07
26,rmensur,04-18-D6-22-8E-6D:UM,8/28/2019 10:07
27,ppriow,04-18-D6-22-9B-4C:UM,8/28/2019 10:07
