,Usuario,MAC AP,Inicio de Conexi¢n
3115,mjsenzw,04-18-D6-22-94-E7:UM,8/30/2019 10:12
3116,umd,04-18-D6-22-94-E7:UM,8/30/2019 10:12
3165,nelivow,04-18-D6-22-94-E7:UM,8/30/2019 10:29
3196,invitede-pansew,04-18-D6-22-94-E7:UM,8/30/2019 10:36
3228,umd,04-18-D6-22-94-E7:UM,8/30/2019 10:45
3232,invitede-pansew,04-18-D6-22-94-E7:UM,8/30/2019 10:45
3290,ppriow,04-18-D6-22-94-E7:UM,8/30/2019 11:04
3319,hcesedew,04-18-D6-22-94-E7:UM,8/30/2019 11:16
3481,ppriow,04-18-D6-22-94-E7:UM,8/30/2019 12:14
3569,ppriow,04-18-D6-22-94-E7:UM,8/30/2019 12:43
3593,invitede-pansew,04-18-D6-22-94-E7:UM,8/30/2019 12:51
3601,invitede-pansew,04-18-D6-22-94-E7:UM,8/30/2019 12:53
3641,invitede-pansew,04-18-D6-22-94-E7:UM,8/30/2019 13:18
3648,invitede-pansew,04-18-D6-22-94-E7:UM,8/30/2019 13:21
3670,nelivow,04-18-D6-22-94-E7:UM,8/30/2019 13:28
3810,invitede-pansew,04-18-D6-22-94-E7:UM,8/30/2019 15:35
